tweet,clean_tweet
@vesteve3 @manubenas @ccoo_rm @desobediencia_ @ccoo @emparempar (Buen ánimo para esta primavera que iniciamos).,buen animo para esta primavera que iniciamos
"“@kirovast: @Hugo_Moran muy fan de la ""radicalidad social""” (Frente a la devaluación democrática).",muy fan de la radicalidad social frente a la devaluacion democratica
@ALTAS_PRESIONES Nuevos dueños para las renovables. En ese momento ya no serán un problema sino una apuesta magnífica.,nuevos duenos para las renovables en ese momento ya no seran un problema sino una apuesta magnifica
"@jumanjisolar @solartradex @josea_dolera El diferencial de precios energéticos con Alemania o Francia sigue siendo el mismo, 8-11 €/MWh.",el diferencial de precios energeticos con alemania o francia sigue siendo el mismo 811 EURmwh
“@cesarnayu: https://t.co/J4OTXj1x7w … Por favor es importante difundir este mensaje para concienciar ¿ me puedes retwittear ? (Hecho).,por favor es importante difundir este mensaje para concienciar  me puedes retwittear  hecho
“@iAgua: http://t.co/6yMSNcV1UA” (El Gobierno sigue adelante con sus planes de privatización hidrológica).,el gobierno sigue adelante con sus planes de privatizacion hidrologica
"""Cospedal: las crisis ya no afectan a España. Guindos: si no se resuelve la crisis de Chipre puede contagiar a España"".",cospedal las crisis ya no afectan a espana guindos si no se resuelve la crisis de chipre puede contagiar a espana
“@ventonoso: España importa ya energía de Portugal porque es más barata http://t.co/TSbz4H6dWt” (Y en 1 o 2 meses de Francia).,espana importa ya energia de portugal porque es mas barata  y en 1 o 2 meses de francia
@elsoldemerix El Gobierno Andaluz presenta recurso de inconstitucionalidad contra la Ley 15/2012 y los RRDD 29/2012 y 2/2013.,el gobierno andaluz presenta recurso de inconstitucionalidad contra la ley 152012 y los rrdd 292012 y 22013
"“@mjocaballero: Maria Dolores de Cospedal demanda a Greenpeace por vulnerar su honor (Pero será demanda simulada y en diferido, ¿no?).",maria dolores de cospedal demanda a greenpeace por vulnerar su honor pero sera demanda simulada y en diferido no
"@dhowellseo Primer paso para cumplir la DMA, impedir los mercadeos privados de derechos concesionales en todas las cuencas.",primer paso para cumplir la dma impedir los mercadeos privados de derechos concesionales en todas las cuencas
"""Ayer el TC publicó su sentencia contra la Ley de Montes de 2003 que Cañete quiere rescatar. Cualquier tiempo pasado sólo fue eso, pasado"".",ayer el tc publico su sentencia contra la ley de montes de 2003 que canete quiere rescatar cualquier tiempo pasado solo fue eso pasado
"“@josearroyobravo: @Hugo_Moran que país!!! Algún interés habrá!!!” (Con el ladrillo hemos topado, amigo Sancho).",que pais algun interes habra con el ladrillo hemos topado amigo sancho
@LuisSalmonCabal @innoredes Por un evidente análisis erróneo del alcance de la medida y de sus consecuencias.,por un evidente analisis erroneo del alcance de la medida y de sus consecuencias
"“@EPEconomia: El #Ibex cede un 1,13% al cierre con la #prima en 380 puntos"".(Una simulación, según Cospedal).",el  cede un 113 al cierre con la  en 380 puntosuna simulacion segun cospedal
"""Rajoy no sólo engaña a UE con déficit económico. También con el ambiental y el climático"".",rajoy no solo engana a ue con deficit economico tambien con el ambiental y el climatico
"“@ridermarina: Rajoy intenta ""tapar"" a Bárcenas con su agenda internacional http://t.co/SMwkj65Qcs vía @publico_es” (tapar=huir).",rajoy intenta tapar a barcenas con su agenda internacional  via  taparhuir
“@la_informacion: Un estudiante de 19 años inventa un sistema para limpiar los océanos de plástico http://t.co/YLRo4oWvF0” (¿Y por qué no?).,un estudiante de 19 anos inventa un sistema para limpiar los oceanos de plastico  y por que no
"""EEUU legisla contra las emisiones de vehículos. El cambio climático para el PP es una profecía maya. Vamos bien"".",eeuu legisla contra las emisiones de vehiculos el cambio climatico para el pp es una profecia maya vamos bien
"""Lecturas sobre el hundimiento del consumo energético. Banco de España: 2013 peor. Gobierno: 2013 mejor"".",lecturas sobre el hundimiento del consumo energetico banco de espana 2013 peor gobierno 2013 mejor
"@ubunteacher EEUU, EPA presenta el Tier 3, objetivos a 2017: -60% azufre; -80% óxidos de nitrógeno.",eeuu epa presenta el tier 3 objetivos a 2017 60 azufre 80 oxidos de nitrogeno
"@ubunteacher 2030: estación intermedia en hoja de ruta energética UE 2050, (fundamental ahorro y eficiencia). España votó en contra.",2030 estacion intermedia en hoja de ruta energetica ue 2050 fundamental ahorro y eficiencia espana voto en contra
@PacoRamosM En este caso emisiones de azufre y óxido de nitrógeno en consumo de carburantes.,en este caso emisiones de azufre y oxido de nitrogeno en consumo de carburantes
"""Nada como una plácida tarde de sábado para la reflexión"". http://t.co/pbbc7Q1fwn",nada como una placida tarde de sabado para la reflexion
"""Mi personal homenaje a Luis Martínez Noval. Un socialista bueno y un hombre entrañable"".",mi personal homenaje a luis martinez noval un socialista bueno y un hombre entranable
@LuisSalmonCabal @innoredes Volveremos a proponerle al Gobierno una hoja de ruta para las renovables estable y segura.,volveremos a proponerle al gobierno una hoja de ruta para las renovables estable y segura
"@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ intento responder a todo lo que me planteas, aunque puede pasárseme algo.",intento responder a todo lo que me planteas aunque puede pasarseme algo
"@enriquefmiranda Respecto al fracking, aceptarlo no es sinónimo de seriedad. Es más, no aceptarlo puede ser incluso más serio.",respecto al fracking aceptarlo no es sinonimo de seriedad es mas no aceptarlo puede ser incluso mas serio
@enriquefmiranda ¿Por qué cerrar la puerta al fracking es demagogia y abrirla no? Aceptemos el principio de precaución.,por que cerrar la puerta al fracking es demagogia y abrirla no aceptemos el principio de precaucion
@aariastorres @enriquefmiranda No es así. El PSOE ha propuesto una moratoria en tanto hay informe de expertos y decisión del Parlamento.,no es asi el psoe ha propuesto una moratoria en tanto hay informe de expertos y decision del parlamento
"@aariastorres @enriquefmiranda Más aún, fue el PSOE quien primero propuso un debate sobre fracking en el Congreso.",mas aun fue el psoe quien primero propuso un debate sobre fracking en el congreso
@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ No hay semana en que el PSOE no se siente con el sector de renovables.,no hay semana en que el psoe no se siente con el sector de renovables
@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ Muchas iniciativas del PSOE en Parlamento vienen de diálogo con renovables,muchas iniciativas del psoe en parlamento vienen de dialogo con renovables
@elsoldemerix @joselarcones @cristinanarbona @sra900 @_rubalcaba_ @anpier_asoc Anpier es interlocutor en colaboración mutua.,anpier es interlocutor en colaboracion mutua
"@jotacastrogil @elsoldemerix @cristinanarbona @sra900 Actuales acciones: recurso al TC vía Andalucía, y Bruselas vía PE.",actuales acciones recurso al tc via andalucia y bruselas via pe
@aariastorres @enriquefmiranda El PE recomendó principio de precaución. Moratoria y grupo de expertos decidió Francia en 2011.,el pe recomendo principio de precaucion moratoria y grupo de expertos decidio francia en 2011
"@aariastorres @enriquefmiranda El fracking requiere una regulación de país. Si no es así, cada municipio o CCAA decide.",el fracking requiere una regulacion de pais si no es asi cada municipio o ccaa decide
“@ambientologos: Parque Nacional de la Sierra de Guadarrama. http://t.co/PoQxjazIay” (¿Por qué se frustró la participación ciudadana?).,parque nacional de la sierra de guadarrama  por que se frustro la participacion ciudadana
@aariastorres @enriquefmiranda El auténtico problema es que los discursos infra proteccionistas son una condena.,el autentico problema es que los discursos infra proteccionistas son una condena
"@aariastorres @enriquefmiranda Pricipio de precaución y sostenibilidad no son equivalentes, sino sucesivos.",pricipio de precaucion y sostenibilidad no son equivalentes sino sucesivos
@enriquefmiranda @aariastorres Hay más populismo en la promesa de riqueza por la explotación de recursos naturales que en su conservación.,hay mas populismo en la promesa de riqueza por la explotacion de recursos naturales que en su conservacion
“@CSarompas: Gracias !!!..Saludos desde Melilla.” (Línea abierta Melilla-Madrid-Asturias. Un saludo).,gracias saludos desde melilla linea abierta melillamadridasturias un saludo
“@sextaNoticias: El Gobierno elimina la fecha de caducidad de los yogures (Que no es lo mismo que prohibir su caducidad).,el gobierno elimina la fecha de caducidad de los yogures que no es lo mismo que prohibir su caducidad
"@aariastorres @enriquefmiranda Lo sucesivo a la no precaución suele ser el desastre, a veces irreversible.",lo sucesivo a la no precaucion suele ser el desastre a veces irreversible
@aariastorres @enriquefmiranda Si hay que reforzar la legislación ambiental conviene no actuar con la insuficiente: precaución.,si hay que reforzar la legislacion ambiental conviene no actuar con la insuficiente precaucion
@aariastorres @enriquefmiranda La sostenibilidad es a los recursos naturales lo que la austeridad a los económicos.,la sostenibilidad es a los recursos naturales lo que la austeridad a los economicos
"@aariastorres @enriquefmiranda El principio de precaución antecede a la acción legislativa, de ahí que sea principio.",el principio de precaucion antecede a la accion legislativa de ahi que sea principio
"""Se hace raro sobrevolar media España en estas fechas sin que las nubes te dejen ver ni un trocito de suelo"".",se hace raro sobrevolar media espana en estas fechas sin que las nubes te dejen ver ni un trocito de suelo
“@arenasjp: “A la niña de siete años la violaron tantos soldados que la mataron” http://t.co/YdU41ONa7G (¿Cabe mayor depravación?).,a la nina de siete anos la violaron tantos soldados que la mataron  cabe mayor depravacion
“@blogdelagua: Terremotos fruto de la actividad humana http://t.co/DYsTGKHjbO” (No digo nada y lo digo todo),terremotos fruto de la actividad humana  no digo nada y lo digo todo
“@ventonoso: Duelo entre Cospedal y Santamaría en Iberdrola http://t.co/QNay9DbTQo via @ElHuffPost (Va en el recibo de la luz),duelo entre cospedal y santamaria en iberdrola  via  va en el recibo de la luz
"""Inquietantes informes de ENRESA sobre inestabilidad del terreno elegido para el ATC ¿No procedería reconsiderarlo?"".",inquietantes informes de enresa sobre inestabilidad del terreno elegido para el atc no procederia reconsiderarlo
"""Tocaba celebrar el fin de semana en Lena la fiesta de la virgen de la flor. Habrá que cambiarla por la de las nieves"".",tocaba celebrar el fin de semana en lena la fiesta de la virgen de la flor habra que cambiarla por la de las nieves
@Defcom10 ¿Inundaciones? Me refería a la geología del subsuelo. Los yesos no son la mejor opción para un ATC.,inundaciones me referia a la geologia del subsuelo los yesos no son la mejor opcion para un atc
"@Defcom10 Los sondeos indican yesos en subsuelo, dijo ENRESA en su comparecencia. Creo oportuno reubicarlo, digo yo.",los sondeos indican yesos en subsuelo dijo enresa en su comparecencia creo oportuno reubicarlo digo yo
@Defcom10 El estudio geológico para el ATC es de julio de 2012. Está en la web de ENRESA.,el estudio geologico para el atc es de julio de 2012 esta en la web de enresa
@Defcom10 Me temo que con el ATC va a haber mucha tela que cortar. Hay evidencias difíciles de ocultar.,me temo que con el atc va a haber mucha tela que cortar hay evidencias dificiles de ocultar
@Defcom10 Creo que debe reiniciarse el proceso del ATC con solidez técnica. Se ganaría en seguridad y tiempo.,creo que debe reiniciarse el proceso del atc con solidez tecnica se ganaria en seguridad y tiempo
"@Defcom10 @siatc_villar Con el ATC, mejor dar ahora un paso atrás antes que avanzar en vano. Quienes sabéis de esto debéis pedir cordura.",con el atc mejor dar ahora un paso atras antes que avanzar en vano quienes sabeis de esto debeis pedir cordura
