Groserias,Vulgar,Ofensivo,clean_tweet
"@alitomorenoc @ciudadanochi VALV pinche doblado.
Te llegaron al precio OGT",1,1,"@alitomorenoc @ciudadanochi VALV pinche doblado.
Te llegaron al precio OGT"
@AlexaStyy Alfin alguien lo dijo que se joda esa pinche vieja piruja 🙄 xd,1,1,@AlexaStyy Alfin alguien lo dijo que se joda esa pinche vieja piruja 🙄 xd
Pinché pendejo neta,1,1,Pinché pendejo neta
Pinche clima estaba soleado hace 15 min. ª 🙃,1,0,Pinche clima estaba soleado hace 15 min. ª 🙃
Siento que mañana no más me va a hervir la pinche sangre de verle la carota .😒🙄😡,1,0,Siento que mañana no más me va a hervir la pinche sangre de verle la carota .😒🙄😡
@lopezobrador_ Que pinche pena con las visitas 🙄,1,0,@lopezobrador_ Que pinche pena con las visitas 🙄
"@TELMEXSoluciona totalmente cubierto, sin pinche internet ni como me roben",1,0,"@TELMEXSoluciona totalmente cubierto, sin pinche internet ni como me roben"
me tienen harta los vatos con su pinché libro y estampitas del mundial,1,0,me tienen harta los vatos con su pinché libro y estampitas del mundial
"alch no quería pero me voy a poner bien pinche pedota el viernes, hace un vergo d falta",1,0,"alch no quería pero me voy a poner bien pinche pedota el viernes, hace un vergo d falta"
Pinche vieja. 🙄 https://t.co/htZPbGJ75I,1,0,Pinche vieja. 🙄 https://t.co/htZPbGJ75I
@ActorLeeMinHo Ni pinche idea de lo que dice pero te amo oki🫰 https://t.co/bxrxkrZKzI,1,0,@ActorLeeMinHo Ni pinche idea de lo que dice pero te amo oki🫰 https://t.co/bxrxkrZKzI
"@adiadkins Y queríamos estar cerca en el servicio, pinche distociadero íbamos a hacer en las unidades jajaja",1,0,"@adiadkins Y queríamos estar cerca en el servicio, pinche distociadero íbamos a hacer en las unidades jajaja"
@Ricardo_gzlz 😂🤣 pinche día divertido jajaja,1,0,@Ricardo_gzlz 😂🤣 pinche día divertido jajaja
"Harto hartooo de tanto pinche acoso sexual. Mínimo 2 veces a la semana vivo una situación de ese ámbito. Neta ya el único lugar donde siento tranquilidad es mi casa o donde estén mis amixes. 

Pero no voy a dejar que esa gente me impida seguir adelante. Chinguensumadre acosadorxs",1,0,"Harto hartooo de tanto pinche acoso sexual. Mínimo 2 veces a la semana vivo una situación de ese ámbito. Neta ya el único lugar donde siento tranquilidad es mi casa o donde estén mis amixes. 

Pero no voy a dejar que esa gente me impida seguir adelante. Chinguensumadre acosadorxs"
@fergudo_ jajajaja awebo pinche rivers,1,0,@fergudo_ jajajaja awebo pinche rivers
PINCHÉ DAYANA PORQUE NO ME DIJISTE DE LAS MALAS VIBES @dayanabecu,1,0,PINCHÉ DAYANA PORQUE NO ME DIJISTE DE LAS MALAS VIBES @dayanabecu
"@homoticon1 @Dan_Lowell @pcramirezs @HLGatell Que es esa pinche mamarachada de poner “Pum!” No mamar.

Vacunaron al 95% no al 100%
La vacuna no impide que te enferme o mate solo baja la probabilidad de enfermar gravemente o morir  comparemos cantidad de muertos entre Australia y Mexico",1,1,"@homoticon1 @Dan_Lowell @pcramirezs @HLGatell Que es esa pinche mamarachada de poner “Pum!” No mamar.

Vacunaron al 95% no al 100%
La vacuna no impide que te enferme o mate solo baja la probabilidad de enfermar gravemente o morir  comparemos cantidad de muertos entre Australia y Mexico"
@KevMedina98 jajaja pinche cuenta feik vdd pa,1,0,@KevMedina98 jajaja pinche cuenta feik vdd pa
Pinche gente inútil,1,0,Pinche gente inútil
Pinche licenciada irresponsable.,1,1,Pinche licenciada irresponsable.
@marianagc @FGRMexico @Birmex @ISSSTE_mx Jajajajaja tu pinché hoja vale para pura riata,1,1,@marianagc @FGRMexico @Birmex @ISSSTE_mx Jajajajaja tu pinché hoja vale para pura riata
Pinche comercial de Cheetos flamin hot me los está antojando horribleeee,1,0,Pinche comercial de Cheetos flamin hot me los está antojando horribleeee
"No es lo mismo ser Totonaco , que seas un pinche político rascuache TODO NACO .

Me pase ? Aguantan  ? Yo le sigo. https://t.co/zm62OerPwx",1,1,"No es lo mismo ser Totonaco , que seas un pinche político rascuache TODO NACO .

Me pase ? Aguantan  ? Yo le sigo. https://t.co/zm62OerPwx"
