clean_tweet,Ofensivo,Vulgar
pues yo jalo trabaje en una ong y ahora en la defensoria publica federa digo igual y mi opinion es medio abogadil pero pues igual y sirve yo no te cobro nada la bronca es que tengo la patita enyesada,0,0
senores medios de prensa  ya dejen de entrevistar a seudos abogados oportunistas sin principios morales y eticos y que abusan del lenguaje abogadil para reventarse cuetes como doctos y no son mas que charlatanes oportunistas molesta verlos y escucharlos es ofensivo,1,0
jajajaja bueno a enrique le gusta provocar a la gente por eso el hilo con todo y la agresion abogadil supongo,0,0
"lo que mas me da gusto del tuit es la cantidad de colegas que se rieron real ese era el objetivo sin embargo tengo que reconocer a quienes lo tomaron en serio y dieron explicaciones recomendaciones de libros etc

pasen a leer aqui el gremio abogadil en todo esplendor",0,0
hace 111 anos nacio en el df uno de los mayores mitos del cine mexicanomario moreno cantinflas quien surgio de la carpa para convertirse en un fenomeno popularde su iconica imagen del peladito que se consagro en ahi esta el detallepaso a aburguesarse en comedias complacientes,0,0
los trabajadores blancos al ser beneficiados por la clase dominante unicamente tienen que cuidarse de no aburguesarse y no desarrollar formas de pensar burguesas como las tuyas los blancos y los los morenos que han pasado mucho tiempo en colegios privados conviviendo con blancos,0,0
balada de pajaros cantores y serpientes la primera imagen de la precuela de los juegos del hambre nos muestra a un acaramelado joven snow,0,0
balada de pajaros cantores y serpientes la primera imagen de la precuela de los juegos del hambre nos muestra a un acaramelado joven snow,0,0
cuando ves a tu marido bien acaramelado con la diputada esa,0,0
deja tu banderita de perseguido politico no sea payaso enterate informate esa senora es una achichincle ridiculo,1,0
pobre tenia la esperanza que se pudiera librar del achichincle,1,0
lopez doriga fue conocido por el regano de un presidente en la prehistoria fue achichincle de zabludovsky esperando tomar su trono siendo timorato y servil luego pudo hacer sus ahorritos con chayote y difusion social con su sa de cv ahora empezamos a conocerle personalmente,1,0
"ni como ayudarte ingrata si ah eso le llamas el mejor deberias de ir al oftalmologo de urgencia necesitas lentes para ver la realidad 
es un asco estar o ser achichincle de obrador",1,0
"me queda claro que si representan a cabalidad su 4t 

una ratera que quitaba los sueldos en texcoco
una que no esta en la carcel por la falta de mantenimiento a la linea 12 del metro
una que tiene un papa violador 
y otra que es la achichincle de lopez y hoy se gano un",1,0
atte el achichincle de ricardo monreal,1,0
"el achichincle de los ninos de timbers 
muchi exito hermanito",1,0
"ya dijo el gobernetas que no se va a permitir hacer valle de reyes en la huasteca a ver si es cierto  
al rato sale con que su achichincle jesus nava de santa catarina autorizo y el no pudo hacer nada para eso lo tiene",1,0
pues es lo que se requiere que no o donde has visto a algun achichincle del cabecita de panal que sea profesional o tenga las credenciales necesarias para el puesto,0,0
cuando dejo de ser un don nadie  fama dinero jajajaja si solo se le conoce por mala copa y achichincle del capi no inventes,1,0
yo jalo que el erik sirva de achichincle,1,0
deberian hacerlo en toda la demarcacion y no solo donde quieren y tanto achichincle,1,0
una achichintle de vamos y funde que fue parte de la tregua con pandillas  por  favor diga una cosa que la excelsa ha hecho  por la poblacion  no hace nada que andar de hotel  en hotel  dice ella que ahi hace territorio,1,0
un cholero de la izquierda uno que se acostumbro al buen vivir tanto asi que perdio el curul hoy anda de lambiscon en la corte de cuentas donde el presidente de esa institucion le dio plaza como regalo por poner al achichintle de rodolfo parker en la corte de cuentas,1,0
excelente mas merecia el achichintle jajajaja,1,0
"d nuevo tenemos al embustero bocachancla soplagaitas correvedile gaznapiro lameculos adlatere  dl dictadorzuelo psicopata camandulero estafador saqueador dl antonio 
q sepa q gilipollas no lleva tilde pero se acentua con el tiempo",1,1
"ciertamente 
pero la  a donde pertenece esta adlatere de keith raniere son el cancer de la humanidad mienten roban y destruyen sin inmutarse",1,0
otro soplagaitasadlaterecorreveidilegaznapiro lameculos e infame sinverguenzaya vemos como denuncias las cabronadas q nos esta haciendo el hdlgp dl tono a todos los paganinis masacrar la economia y gastarse ntros EUR para sus caprichossu disfrute y su beneficio,1,1
marietto adlatere de los  compinche activo de la,1,0
otro soplagaitas adlatere correveidile gaznapiro  lameculos cinico mezquino fanatico sectario e infame sinverguenzaya vemos como denuncias las cabronadas q nos esta haciendo el hdlgp dl tono a todos los q cotizamos gastarse ntros EUR en su propio beneficio y arruinarnos a todos,1,1
otro soplagaitas adlatere correveidile gaznapiro la voz d su amo lameculos cinico mezquino  fanatico sectario e infame sinverguenza ya vemos como denuncias las cabronadas q nos esta haciendo el hdlgp dl tono a todos los q cotizamos gastarse ntros EUR en su propio beneficio,1,1
aqui tenemos otro soplagaitas adlatere correveidile gaznapiro la voz d su amo lameculos cinico mezquino fanatico sectario e infame sinverguenza,1,1
ese macuarro no es empresario es un mafioso advenedizo,0,0
"mi adorada ciudad invadida de espectaculares de la basura  quien jamas ha realizado nada en pro de veracruz dicese nativo de minatitlan y casualmente nadie lo conoce otro advenedizo de la politica cuatrota

oposicion unida por amor a  juntos con",1,0
cual valentia  eres un pelagatos  un advenedizo,1,0
ninguno dicho por el mismo es advenedizo de cualquiera que le de el poder y los reflectores que el necesita para alimentar su ego un farsante pues,1,0
y te creo mijo el buen gusto no se compra aunque recibas harto chayote de lopez obrador tu seguiras perfumandote en liverpool tu eres un ocasionado advenedizo nada mas,0,0
y la suya cual es senor advenedizo,0,0
"que pinche advenedizo de mierda es 

ahora si muy indignado por el uso del var contra los chemos pero cuando los ayudaron incluso para conseguir un campeonato no se quejaba

andale wey mejor ve a aprender a cortejar a una mujer que no sea tu hermana",1,1
