clean_tweet,Ofensivo,Vulgar
"valv pinche doblado
te llegaron al precio ogt",1,1
alfin alguien lo dijo que se joda esa pinche vieja piruja  xd,1,1
pinche pendejo neta,1,1
pinche clima estaba soleado hace 15 min a,0,1
siento que manana no mas me va a hervir la pinche sangre de verle la carota,0,1
que pinche pena con las visitas,0,1
totalmente cubierto sin pinche internet ni como me roben,0,1
me tienen harta los vatos con su pinche libro y estampitas del mundial,0,1
alch no queria pero me voy a poner bien pinche pedota el viernes hace un vergo d falta,0,1
pinche vieja,0,1
ni pinche idea de lo que dice pero te amo oki,0,1
y queriamos estar cerca en el servicio pinche distociadero ibamos a hacer en las unidades jajaja,0,1
pinche dia divertido jajaja,0,1
"harto hartooo de tanto pinche acoso sexual minimo 2 veces a la semana vivo una situacion de ese ambito neta ya el unico lugar donde siento tranquilidad es mi casa o donde esten mis amixes 

pero no voy a dejar que esa gente me impida seguir adelante chinguensumadre acosadorxs",0,1
jajajaja awebo pinche rivers,0,1
pinche dayana porque no me dijiste de las malas vibes,0,1
"que es esa pinche mamarachada de poner pum no mamar

vacunaron al 95 no al 100
la vacuna no impide que te enferme o mate solo baja la probabilidad de enfermar gravemente o morir  comparemos cantidad de muertos entre australia y mexico",1,1
jajaja pinche cuenta feik vdd pa,0,1
pinche gente inutil,0,1
pinche licenciada irresponsable,1,1
jajajajaja tu pinche hoja vale para pura riata,1,1
pinche comercial de cheetos flamin hot me los esta antojando horribleeee,0,1
"no es lo mismo ser totonaco  que seas un pinche politico rascuache todo naco 

me pase  aguantan   yo le sigo",1,1
la velocidad que tenia pinche carioca siempre fue crack corriendo asi nadie le quita el mejor 5 de la liga,0,1
jajaja cuanto te esta pagando el prian pinche chmel torres,0,1
una lloradita y a seguir en pinche gyo,0,1
gracias amigo tqm pinche agus si me dolio sobre todo que viniera d ti,0,1
que pedo con el pinche ruta 23 nomas me la andas aplicando,0,1
su pinche carisma complementa todos los atributos que mencionas insisto es adorable por todos sus angulos ahi si que como dice luismi que nivel de mujer,0,1
bien pinche sad,0,1
